Grant,Expense Type,Status,Guidance
All,Field trips tied to curriculum,Conditional,"Must be educational, in lesson plans, documented, reasonable and allowed by grant"
All,Field trips to amusement/theme parks,Not Allowable,"Social, entertainment or recreational purposes"
All,Advertising and public relations costs,Questionable,Review against 2 CFR 200.421 and program purpose
All,Alcoholic beverages,Not Allowable,Prohibited
All,Entertainment costs,Not Allowable,"Entertainment, recreation and social events prohibited"
All,Gift cards,Not Allowable,Unallowable universal expenditure
All,Promotional items/T-shirts,Not Allowable,"Souvenirs, memorabilia and promotional items prohibited except specific migrant exception"
All,Door prizes,Not Allowable,Unallowable universal expenditure
All,"Construction, remodeling, renovation",Not Allowable,Unless specifically authorized by statute
All,Food at family engagement events,Conditional,"Must be reasonable, necessary, allocable and justified"
All,Food at networking sessions,Not Allowable,Purely social focus
All,Food at regular staff meetings,Not Allowable,Not reasonable
All,Food for remote meetings,Not Allowable,Not justified
All,Alcohol,Not Allowable,Federal funds cannot be used
All,Light refreshments after-hours meetings,Conditional,Need evidence attendance affected and agenda central to grant
Title I-A,Program Administrator/Grant Manager/Title I Coordinator salary portion,Allowable,Approved allocable Title I-A position
Title I-A,Data Coordinator,Allowable,Approved allocable Title I-A position
Title I-A,Homeless Liaison,Allowable,Approved allocable Title I-A position
Title I-A,Title I Teacher Reading/Math Specialist,Allowable,Approved allocable Title I-A position
Title I-A,Instructional Coach,Allowable,Approved allocable Title I-A position
Title I-A,Preschool/Early Childhood staff,Allowable,Approved allocable Title I-A position
Title I-A,Summer/before-after school tutoring staff,Allowable,Approved allocable Title I-A position
Title I-A,Title I paraprofessionals,Allowable,Approved allocable Title I-A position
Title I-A,Parent and Family Engagement liaison,Allowable,Approved allocable Title I-A position
Title I-A,Entire salary not fully Title I,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Non-Title I school work time,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Substitutes not in school plan,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Supplies for non-Title I schools,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Gift cards,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,T-shirts,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Cash awards,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Entertainment events,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,End of year celebrations,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Staff appreciation items,Not Allowable,Listed as non-eligible Title I-A expenditure
Title I-A,Computers/software for Title I students,Allowable,Support Title I instruction
Title I-A,Field trips tied to curriculum,Conditional,Must tie to curriculum
Title I-A,Food and beverage for Title I meetings,Conditional,Must meet federal requirements
Title I-A,Student transportation to regular school day,Not Allowable,Cannot charge grant for regular day transportation
Title I-A,Educational memberships/subscriptions,Allowable,Support Title I initiatives
Title I-A,School clothing and shoes,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Student fees for general education participation,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,School or hygiene supplies,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Birth certificates,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Immunizations,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Medical and dental services,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Eyeglasses/hearing aids,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Tutoring services,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,ACT/SAT exams,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Graduation fees caps gowns,Conditional,Allowable for homeless students under homeless set-aside when necessary
Title I-A,Rental assistance,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Motel/hotel stays,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Housing deposit,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Utility bills,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Household appliances,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Food for whole family,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Yearbooks,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-A,Study abroad trips,Not Allowable,Non-eligible homeless set-aside expenditure
Title I-C,Migrant coordinator salary,Allowable,Supports migrant program purpose
Title I-C,Family liaison salary,Allowable,Supports migrant program purpose
Title I-C,PAC supplies,Allowable,Supports migrant program purpose
Title I-C,Summer school expenses,Allowable,Supports migrant program purpose
Title I-C,Recruiting supplies,Allowable,Supports migrant program purpose
Title I-C,Technology for migrant children,Allowable,Supports migrant program purpose
Title I-C,Tutoring before/after school,Allowable,Supports migrant program purpose
Title I-C,Migrant family literacy events,Allowable,Supports migrant program purpose
Title I-C,Transportation to health providers,Allowable,Supports migrant program purpose
Title I-C,Cost of vaccines,Not Allowable,Listed non-eligible
Title I-C,Medical procedures,Not Allowable,Listed non-eligible
Title I-C,Yearbooks,Not Allowable,Listed non-eligible
Title I-C,Sports equipment,Not Allowable,Listed non-eligible
Title I-C,Promotional giveaways,Not Allowable,Listed non-eligible
Title I-C,State reimbursable transportation portion,Not Allowable,Listed non-eligible
Title I-C,Promotional items for identification and recruitment,Conditional,Allowed as migrant program exception if useful for communication
Title I-C,Bus/vehicle purchase,Conditional,SEA approval and migrant program conditions required
Title I-D,Dual credit courses,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,Training and mentoring programs,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,Family engagement activities,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,College admission tests and fees,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,GED prep,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,Professional development for staff serving students,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,Transition coordinators,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,Mentoring programs,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,CTE training courses,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,Job placement services,Allowable,Supports neglected/delinquent transition and achievement goals
Title I-D,College tuition only for college credit,Not Allowable,Listed non-eligible activity
Title I-D,Meals for family activities,Not Allowable,Listed non-eligible activity
Title I-D,Incentives and rewards,Not Allowable,Listed non-eligible activity
Title I-D,Regular program instruction,Not Allowable,Listed non-eligible activity
Title I-D,Furniture/desks/chairs,Not Allowable,Listed non-eligible activity
Title I-D,Additional security staff,Not Allowable,Listed non-eligible activity
Title I-D,Regular textbooks,Not Allowable,Listed non-eligible activity
Title I-D,Gifts rewards incentives prizes,Not Allowable,Listed non-eligible activity
Title I-D,Entertainment events,Not Allowable,Listed non-eligible activity
Title I-D,Building repairs,Not Allowable,Listed non-eligible activity
Title II-A,Evidence-based professional development,Allowable,Authorized Title II-A activity
Title II-A,Instructional coaching,Allowable,Authorized Title II-A activity
Title II-A,Substitutes for Title II-A PD,Allowable,Authorized Title II-A activity
Title II-A,Teacher stipends for PD,Allowable,Authorized Title II-A activity
Title II-A,Books and materials for PD,Allowable,Authorized Title II-A activity
Title II-A,Recruiting effective teachers,Allowable,Authorized Title II-A activity
Title II-A,Mentoring programs,Allowable,Authorized Title II-A activity
Title II-A,Paraprofessional certification support,Allowable,Authorized Title II-A activity
Title II-A,Class-size reduction with effective teachers,Allowable,Authorized Title II-A activity
Title II-A,Trauma-informed training,Allowable,Authorized Title II-A activity
Title II-A,Regular teacher salaries,Not Allowable,Title II-A specific prohibition
Title II-A,Background checks,Not Allowable,Title II-A specific prohibition
Title II-A,Fingerprinting fees,Not Allowable,Title II-A specific prohibition
Title II-A,Required accreditation fees,Not Allowable,Title II-A specific prohibition
Title II-A,State-required assessment fees,Not Allowable,Title II-A specific prohibition
Title II-A,Curriculum supplies,Not Allowable,Title II-A specific prohibition
Title II-A,Food for non-Title-II activities,Not Allowable,Title II-A specific prohibition
Title II-A,Activities required by law,Not Allowable,Title II-A specific prohibition
Title III-A,Supplemental LIEPs,Allowable,Supplemental Title III-A activity
Title III-A,Supplemental instructional materials,Allowable,Supplemental Title III-A activity
Title III-A,Tutoring for ELs,Allowable,Supplemental Title III-A activity
Title III-A,Dual enrollment for ELs,Allowable,Supplemental Title III-A activity
Title III-A,Professional development for EL educators,Allowable,Supplemental Title III-A activity
Title III-A,Family literacy services,Allowable,Supplemental Title III-A activity
Title III-A,Family engagement workshops,Allowable,Supplemental Title III-A activity
